month,aluminum,cobalt,copper,iron ore,lead,molybdenum,nickel,tin,uranium,zinc,dt_ym,dt_y,dt_m
Nov 1998,1295.30004882813,15437.5,1573.72497511139,13.41,493.024993896484,,4117.25,5477.99998680725,8.88333333333333,965.950012207031,1998-11-01,1998,11
Dec 1998,1250.39477539063,11468.75,1475.76309447174,13.41,500.605255126953,,3865.76318359375,5262.36833021851,8.4875,961.578918457031,1998-12-01,1998,12
Jan 1999,1219.40002441406,10937.5,1432.00002842255,11.93,491.625,,4264.0,5102.99996468201,9.0125,931.75,1999-01-01,1999,1
Feb 1999,1186.475,18083.3333333333,1412.95,11.93,512.95,,4623.25,5262.0,9.2,1017.6,1999-02-01,1999,2
Mar 1999,1179.86363636364,18525.0,1378.47727272727,11.93,506.795454545455,,5002.95454545455,5292.95454545455,10.43571429,1028.79545454545,1999-03-01,1999,3
Apr 1999,1277.85,16350.0,1463.725,11.93,517.075,,5054.75,5381.75,10.85,1018.175,1999-04-01,1999,4
May 1999,1323.13157894737,16112.5,1510.44736842105,11.93,540.710526315789,,5395.78947368421,5643.15789473684,10.725,1039.92105263158,1999-05-01,1999,5
Jun 1999,1315.52272727273,20581.25,1422.15909090909,11.93,495.454545454545,,5194.77272727273,5262.72727272727,10.55555556,999.909090909091,1999-06-01,1999,6
Jul 1999,1403.36363636364,20100.0,1639.18181818182,11.93,495.113636363636,,5696.36363636364,5210.45454545455,10.2625,1071.22727272727,1999-07-01,1999,7
Aug 1999,1421.69047619048,19000.0,1646.7380952381,11.93,502.238095238095,,6431.42857142857,5224.28571428571,10.11428571,1129.69047619048,1999-08-01,1999,8
Sep 1999,1492.06818181818,18350.0,1749.68181818182,11.93,506.5,,7029.09090909091,5336.81818181818,9.91666667,1192.93181818182,1999-09-01,1999,9
Oct 1999,1473.33333333333,15666.6666666667,1723.28571428571,11.93,496.404761904762,,7317.61904761905,5425.2380952381,9.76111111,1147.97619047619,1999-10-01,1999,10
Nov 1999,1472.43181818182,14000.0,1726.77272727273,11.93,477.568181818182,,7946.81818181818,5835.22727272727,9.7125,1146.38636363636,1999-11-01,1999,11
Dec 1999,1554.73529411765,14200.0,1764.88235294118,11.93,478.735294117647,,8073.23529411765,5719.11764705882,9.6375,1185.23529411765,1999-12-01,1999,12
Jan 2000,1679.85,14437.5,1843.85,12.45,471.875,,8315.25,5926.25,9.55,1178.575,2000-01-01,2000,1
Feb 2000,1679.425,14093.75,1807.025,12.45,453.25,,9583.75,5669.0,9.39375,1098.25,2000-02-01,2000,2
Mar 2000,1579.64,15225.0,1739.8,12.45,441.84,,10255.4,5463.8,9.31,1113.0,2000-03-01,2000,3
Apr 2000,1458.745,16218.75,1681.9075,12.45,423.02,,9746.5,5398.05,9.14285714,1132.52,2000-04-01,2000,4
May 2000,1468.0652173913,16543.4782608696,1785.09782608696,12.45,412.608695652174,,10122.9130434783,5437.95652173913,8.5,1154.07391304348,2000-05-01,2000,5
Jun 2000,1509.37272727273,14977.2727272727,1752.07272727273,12.45,419.554545454545,,8384.31818181818,5461.18181818182,8.23125,1116.19090909091,2000-06-01,2000,6
Jul 2000,1564.37619047619,13071.4285714286,1803.14285714286,12.45,453.104761904762,,8174.80952380952,5329.7619047619,8.1,1135.91428571429,2000-07-01,2000,7
Aug 2000,1530.3347826087,13934.7826086957,1857.12391304348,12.45,472.573913043478,,8038.4347826087,5314.34782608696,7.95714286,1172.55217391304,2000-08-01,2000,8
Sep 2000,1602.30952380952,15029.7619047619,1961.89285714286,12.45,488.047619047619,,8624.80952380952,5471.80952380952,7.56666667,1221.67142857143,2000-09-01,2000,9
Oct 2000,1501.24545454545,16681.8181818182,1894.37272727273,12.45,484.786363636364,,7650.63636363636,5266.45454545455,7.4,1091.61363636364,2000-10-01,2000,10
Nov 2000,1475.55454545455,16000.0,1795.60227272727,12.45,465.877272727273,,7350.59090909091,5264.81818181818,7.12777778,1058.68181818182,2000-11-01,2000,11
Dec 2000,1569.055,16000.0,1852.4,12.45,463.53,,7318.8,5227.4,7.13571429,1059.33,2000-12-01,2000,12
Jan 2001,1619.87727272727,13500.0,1787.05681818182,12.99,478.536363636364,,6975.90909090909,5168.5,7.1,1032.7,2001-01-01,2001,1
Feb 2001,1607.03,13900.0,1766.125,12.99,501.71,,6546.8,5121.25,7.3875,1021.58,2001-02-01,2001,2
Mar 2001,1512.17272727273,14272.7272727273,1742.15909090909,12.99,498.845454545455,,6165.18181818182,5049.63636363636,7.69444444,1005.62272727273,2001-03-01,2001,3
Apr 2001,1499.48333333333,14119.0476190476,1665.97222222222,12.99,477.588888888889,,6363.11111111111,4949.77777777778,8.22857143,970.138888888889,2001-04-01,2001,4
May 2001,1542.39047619048,10908.6956521739,1684.85,12.99,466.076190476191,,7086.47619047619,4951.78947368421,9.0,937.961904761905,2001-05-01,2001,5
Jun 2001,1470.83333333333,10814.2857142857,1610.46904761905,12.99,444.733333333333,,6674.33333333333,4829.90476190476,8.77777778,896.928571428571,2001-06-01,2001,6
Jul 2001,1418.62272727273,10293.1818181818,1526.77045454545,12.99,462.154545454545,,5962.54545454546,4343.59090909091,8.75,853.304545454545,2001-07-01,2001,7
Aug 2001,1377.84545454545,9681.52173913044,1466.41136363636,12.99,483.627272727273,,5525.63636363636,3929.45454545455,8.95,830.031818181818,2001-08-01,2001,8
Sep 2001,1345.995,9312.5,1427.69736842105,12.99,464.805,,5057.65,3698.36842105263,9.15,799.51,2001-09-01,2001,9
Oct 2001,1283.53043478261,8250.0,1377.37608695652,12.99,468.582608695652,,4830.78260869565,3749.17391304348,9.46666667,761.739130434782,2001-10-01,2001,10
Nov 2001,1334.45454545455,8250.0,1434.29318181818,12.99,486.713636363636,,5131.31818181818,4059.31818181818,9.43333333,774.345454545454,2001-11-01,2001,11
Dec 2001,1348.72352941176,7592.85714285714,1472.84705882353,12.99,482.905882352941,,5315.82352941176,4022.47058823529,9.5,757.970588235294,2001-12-01,2001,12
Jan 2002,1371.36363636364,6950.0,1508.22727272727,12.68,511.086363636364,,6061.36363636364,3867.95454545455,9.5875,794.195454545454,2002-01-01,2002,1
Feb 2002,1371.08,6950.0,1561.3675,12.68,480.925,,6039.95,3724.61111111111,9.71875,773.47,2002-02-01,2002,2
Mar 2002,1404.985,6765.47619047619,1607.3925,12.68,480.675,,6543.2,3850.75,9.95,819.995,2002-03-01,2002,3
Apr 2002,1370.38571428571,6625.0,1588.57142857143,12.68,472.090476190476,,6956.80952380952,4026.47619047619,9.75,807.57619047619,2002-04-01,2002,4
May 2002,1344.42727272727,6684.78260869565,1597.02272727273,12.68,450.386363636364,,6771.18181818182,4152.81818181818,9.9,768.25,2002-05-01,2002,5
Jun 2002,1356.93333333333,6706.25,1650.59444444444,12.68,439.983333333333,,7147.61111111111,4303.33333333333,9.9,769.422222222222,2002-06-01,2002,6
Jul 2002,1337.8652173913,6788.04347826087,1588.2847826087,12.68,446.026086956522,,7137.69565217391,4313.78260869565,9.89375,795.013043478261,2002-07-01,2002,7
Aug 2002,1293.35714285714,6613.63636363636,1482.91666666667,12.68,424.333333333333,,6736.85714285714,3832.2380952381,9.85,748.809523809524,2002-08-01,2002,8
Sep 2002,1301.7,6685.71428571429,1478.93333333333,12.68,420.542857142857,,6664.95238095238,3961.7619047619,9.79761904761905,756.17619047619,2002-09-01,2002,9
Oct 2002,1311.46086956522,6188.04347826087,1486.17173913043,12.68,418.247826086957,,6818.91304347826,4242.08695652174,9.84130434782609,755.086956521739,2002-10-01,2002,10
Nov 2002,1373.26666666667,6185.71428571429,1581.03571428571,12.68,441.442857142857,,7314.80952380952,4228.95238095238,9.86428571428571,764.566666666666,2002-11-01,2002,11
Dec 2002,1375.8619047619,6551.13636363636,1592.96428571429,12.68,441.209523809524,,7206.33333333333,4227.19047619048,9.88181818181818,794.261904761905,2002-12-01,2002,12
Jan 2003,1379.26818181818,13724.7994184726,1650.31136363636,13.82,444.825,,8032.80681818182,4445.13636363636,10.1565217391304,782.318181818182,2003-01-01,2003,1
Feb 2003,1421.535,14426.4827586207,1682.145,13.82,474.5125,,8607.9,4572.2,10.1,785.635,2003-02-01,2003,2
