"Date","Price","Open","High","Low","Vol.","Change %"
"May 07, 2012","142.70","142.70","142.70","142.70","-","0.00%"
"May 04, 2012","142.70","142.70","142.70","142.70","-","0.14%"
"May 03, 2012","142.50","142.50","142.50","142.50","-","0.00%"
"May 02, 2012","142.50","142.50","142.50","142.50","-","-0.49%"
"May 01, 2012","143.20","143.20","143.20","143.20","-","-2.98%"
"Apr 30, 2012","147.60","147.60","147.60","147.60","-","-0.14%"
"Apr 27, 2012","147.80","147.80","147.80","147.80","-","-0.07%"
"Apr 26, 2012","147.90","147.90","147.90","147.90","-","-0.14%"
"Apr 25, 2012","148.10","148.10","148.10","148.10","-","-0.07%"
"Apr 24, 2012","148.20","148.20","148.20","148.20","-","0.00%"
"Apr 23, 2012","148.20","148.20","148.20","148.20","-","-0.07%"
"Apr 20, 2012","148.30","148.30","148.30","148.30","-","0.20%"
"Apr 19, 2012","148.00","148.00","148.00","148.00","-","-0.13%"
"Apr 18, 2012","148.20","148.20","148.20","148.20","-","-0.13%"
"Apr 17, 2012","148.40","148.40","148.40","148.40","-","0.20%"
"Apr 16, 2012","148.10","148.10","148.10","148.10","-","-0.34%"
"Apr 13, 2012","148.60","148.60","148.60","148.60","-","-0.20%"
"Apr 12, 2012","148.90","148.90","148.90","148.90","-","-0.13%"
"Apr 11, 2012","149.10","149.10","149.10","149.10","-","-0.20%"
"Apr 10, 2012","149.40","149.40","149.40","149.40","-","1.56%"
"Apr 09, 2012","147.10","147.10","147.10","147.10","-","0.00%"
"Apr 05, 2012","147.10","147.10","147.10","147.10","-","-0.14%"
"Apr 04, 2012","147.30","147.30","147.30","147.30","-","0.14%"
"Apr 03, 2012","147.10","147.10","147.10","147.10","-","0.82%"
"Apr 02, 2012","145.90","145.90","145.90","145.90","-","0.90%"
"Mar 29, 2012","144.60","144.60","144.60","144.60","-","0.07%"
"Mar 28, 2012","144.50","144.50","144.50","144.50","-","0.14%"
"Mar 27, 2012","144.30","144.30","144.30","144.30","-","0.14%"
"Mar 26, 2012","144.10","144.10","144.10","144.10","-","0.14%"
"Mar 23, 2012","143.90","143.90","143.90","143.90","-","0.07%"
"Mar 22, 2012","143.80","143.80","143.80","143.80","-","0.07%"
"Mar 21, 2012","143.70","143.70","143.70","143.70","-","0.00%"
"Mar 20, 2012","143.70","143.70","143.70","143.70","-","0.00%"
"Mar 19, 2012","143.70","143.70","143.70","143.70","-","0.07%"
"Mar 16, 2012","143.60","143.60","143.60","143.60","-","0.00%"
"Mar 15, 2012","143.60","143.60","143.60","143.60","-","0.35%"
"Mar 14, 2012","143.10","143.10","143.10","143.10","-","-0.28%"
"Mar 13, 2012","143.50","143.50","143.50","143.50","-","0.70%"
"Mar 12, 2012","142.50","142.50","142.50","142.50","-","1.79%"
"Mar 09, 2012","140.00","140.00","140.00","140.00","-","0.14%"
"Mar 08, 2012","139.80","139.80","139.80","139.80","-","0.72%"
"Mar 07, 2012","138.80","138.80","138.80","138.80","-","0.43%"
"Mar 06, 2012","138.20","138.20","138.20","138.20","-","0.22%"
"Mar 05, 2012","137.90","137.90","137.90","137.90","-","-1.15%"
"Mar 02, 2012","139.50","139.50","139.50","139.50","-","0.14%"
"Mar 01, 2012","139.30","139.30","139.30","139.30","-","-0.78%"
"Feb 29, 2012","140.40","140.40","140.40","140.40","-","0.21%"
"Feb 28, 2012","140.10","140.10","140.10","140.10","-","0.07%"
"Feb 27, 2012","140.00","140.00","140.00","140.00","-","0.07%"
"Feb 24, 2012","139.90","139.90","139.90","139.90","-","-0.07%"
"Feb 23, 2012","140.00","140.00","140.00","140.00","-","0.14%"
"Feb 22, 2012","139.80","139.80","139.80","139.80","-","-0.07%"
"Feb 21, 2012","139.90","139.90","139.90","139.90","-","0.00%"
